1742454522.7820647,9.4140625,22.890625,0.11328125
1742454575.8175633,15.859375,14.453125,-13.046875
1742454575.9268928,11.75,11.15625,-17.21875
1742454576.0357091,19.5,13.375,-17.09375
1742454576.1459172,19.296875,13.015625,-13.0625
1742454576.1535435,15.09375,13.953125,-13.421875
1742454576.3495176,18.84375,13.421875,-9.40625
1742454576.4408514,3.171875,24.734375,-0.45703125
1742454576.5496492,0.58203125,26.59375,0.1875
1742454576.6591654,8.1796875,23.90625,-0.7890625
1742454576.768482,6.46875,25.28125,-0.95703125
1742454576.8765295,6.734375,25.25,-0.564453125
1742454576.8845427,7.421875,22.625,-0.47265625
1742454577.078395,6.3984375,22.65625,-1.05078125
1742454577.17406,7.015625,23.328125,-1.6435546875
1742454577.284486,7.453125,21.890625,-1.2275390625
1742454577.3934445,4.9765625,21.8125,0.056640625
1742454577.485755,6.703125,21.359375,-1.3642578125
1742454577.5947104,6.828125,22.8125,-1.4599609375
1742454577.6024883,6.4296875,22.859375,-0.849609375
1742454577.7036726,6.7890625,22.984375,-1.6171875
1742454577.7976773,2.984375,23.25,-1.34375
1742454578.0000918,5.9140625,22.5625,-1.10546875
1742454578.0078714,5.5546875,22.203125,-1.0859375
1742454578.1094837,3.984375,22.421875,-0.91015625
1742454578.3278697,5.453125,22.9375,-1.767578125
1742454578.3348827,4.390625,21.359375,-0.85546875
1742454578.4200726,5.2109375,22.28125,-0.748046875
1742454578.5295944,7.4375,21.296875,-1.802734375
1742454578.638239,6.453125,23.21875,-1.3994140625
1742454578.7351131,5.390625,21.859375,-1.150390625
1742454578.8399544,6.8671875,23.84375,-0.849609375
1742454578.9505212,4.84375,23.9375,-0.091796875
1742454579.045957,6.734375,23.171875,-2.4921875
1742454579.2637134,6.6328125,22.203125,-1.8564453125
1742454579.270711,6.0703125,22.8125,-1.76953125
1742454579.4666877,6.9375,23.015625,-2.3671875
1742454579.4736965,7.4765625,23.953125,-1.400390625
1742454579.577539,7.03125,25.5625,-2.443359375
1742454579.7804632,12.375,26.078125,-3.3203125
1742454579.7874858,14.625,28.75,-5.8515625
1742454579.890503,11.078125,35.46875,-5.03125
1742454579.984681,15.734375,36.65625,-7.88671875
1742454580.2019749,12.546875,34.6875,-5.34375
1742454580.209494,13.3125,34.78125,-7.4140625
1742454580.3098826,12.390625,35.1875,-6.98828125
1742454580.5280724,10.6171875,33.90625,-7.25390625
1742454580.5357842,9.90625,31.78125,-6.0078125
1742454580.6225955,9.515625,31.4375,-6.7109375
1742454580.8418875,11.390625,31.84375,-5.69921875
1742454580.8480124,10.2578125,33.1875,-6.3671875
1742454580.9493697,10.78125,32.09375,-5.80859375
1742454581.167537,9.28125,33.53125,-5.5546875
1742454581.2784662,10.671875,30.9375,-7.25390625
1742454581.2859776,10.296875,32.3125,-5.84765625
1742454581.3720334,10.015625,31.5625,-4.73046875
1742454581.4801779,10.34375,33.59375,-5.24609375
1742454581.5884666,9.0390625,32.5,-5.02734375
1742454581.6960156,9.3125,33.15625,-5.18359375
1742454581.8055944,10.1640625,32.71875,-4.79296875
1742454582.0239449,11.140625,31.21875,-5.9375
1742454582.0319433,14.984375,24.15625,-6.421875
1742454582.1190734,15.375,20.625,-5.65625
1742454582.436455,22.734375,0.0625,-3.615234375
1742454582.647096,24.765625,-7.94140625,0.068359375
1742454582.756021,18.453125,-22.515625,3.38671875
1742454582.7638419,25.609375,-28.015625,5.64453125
1742454582.8647919,24.015625,-26.375,5.39453125
1742454583.0837078,23.328125,-26.59375,4.2734375
1742454583.0907059,28.515625,-27.890625,3.4453125
1742454583.1905963,26.25,-27.65625,3.6796875
1742454583.3954933,27.796875,-26.921875,1.86328125
1742454583.503493,25.265625,-27.328125,2.76171875
1742454583.511011,26.984375,-27.703125,3.96875
1742454583.6124022,35.75,-32.71875,5.56640625
1742454583.7235155,27.734375,-31.421875,6.77734375
1742454583.923704,32.375,-37.3125,11.078125
1742454583.930702,27.265625,-36.46875,10.15625
1742454584.140675,27.171875,-34.9375,8.21875
1742454584.1482596,23.078125,-31.921875,6.68359375
1742454584.2516432,21.0,-32.5,5.37890625
1742454584.3605123,31.765625,-33.375,8.921875
1742454584.455504,27.203125,-32.03125,7.63671875
1742454584.5642042,23.703125,-30.734375,5.99609375
1742454584.7669222,24.890625,-29.234375,6.58984375
1742454584.8766127,25.375,-24.125,4.57421875
1742454584.8836255,16.96875,-17.765625,3.1484375
1742454585.0976667,17.609375,-12.734375,6.34765625
1742454585.1046808,16.5625,-7.78125,6.30859375
1742454585.2055771,17.390625,-2.9921875,5.53515625
1742454587.3388371,15.625,6.65234375,6.82421875
1742454587.4320745,23.390625,5.11328125,5.34765625
1742454587.5385833,30.328125,2.265625,4.171875
1742454587.6479945,34.0,2.1640625,0.71875
1742454587.75755,43.3125,0.43359375,-0.390625
1742454587.8671148,49.0625,-3.939453125,-2.0
1742454587.8738024,55.0625,-10.34375,3.47265625
1742454588.0691054,57.5625,-13.46875,5.99609375
1742454589.1285257,57.625,-8.390625,-0.083984375
1742454589.2377927,51.75,-2.119140625,-0.91015625
1742454589.3466566,54.875,-3.333984375,0.21484375
1742454589.457055,54.875,-3.939453125,-1.115234375
1742454589.564471,52.0625,-1.720703125,0.31640625
1742454589.674575,51.375,-2.2890625,2.3046875
1742454589.7674124,51.6875,-1.23828125,2.8671875
1742454589.877865,54.25,-3.875,-0.119140625
1742454595.4667714,55.6875,3.62890625,0.984375
1742454595.577488,54.1875,3.98046875,0.697265625
1742454595.685636,56.375,3.98828125,0.080078125
