Status,Time,Pitch,Yaw,Roll,Xmin,Ymin,Xmax,Ymax
Pose,19:20:15,-6.90,8.48,-11.06,0.5806,0.5078,0.8462,0.8965
Pose,19:20:15,-9.16,8.66,-11.25,0.5713,0.5078,0.8389,0.8975
Pose,19:20:15,-11.94,5.41,-11.22,0.5605,0.5112,0.8311,0.9048
Pose,19:20:15,-12.02,8.12,-12.88,0.5542,0.5049,0.8247,0.9121
Pose,19:20:15,-15.62,6.39,-13.42,0.5488,0.5088,0.8193,0.9102
Pose,19:20:15,-15.88,3.10,-10.47,0.5439,0.5146,0.8115,0.9102
Pose,19:20:15,-14.23,5.11,-8.61,0.5400,0.5132,0.8018,0.9204
Pose,19:20:15,-16.91,4.65,-9.91,0.5312,0.5166,0.7979,0.9150
Pose,19:20:15,-17.47,4.79,-8.25,0.5283,0.5205,0.7910,0.9170
Pose,19:20:15,-14.77,0.83,-6.59,0.5190,0.5215,0.7837,0.9180
Pose,19:20:15,-11.01,-1.41,-6.75,0.5093,0.5205,0.7788,0.9375
Pose,19:20:15,-8.16,-1.92,-6.84,0.5015,0.5205,0.7759,0.9307
Pose,19:20:15,-5.82,-5.96,-7.26,0.4995,0.5229,0.7729,0.9312
Pose,19:20:15,-4.41,-5.11,-7.34,0.5010,0.5249,0.7686,0.9282
Pose,19:20:15,-4.22,-5.92,-9.20,0.4951,0.5254,0.7676,0.9268
Pose,19:20:15,-2.52,-5.00,-6.46,0.4937,0.5234,0.7661,0.9307
Pose,19:20:15,-6.88,-5.08,-5.56,0.4941,0.5225,0.7656,0.9277
Pose,19:20:16,-6.80,-3.89,-6.83,0.4956,0.5234,0.7661,0.9287
Pose,19:20:16,-8.66,-4.03,-6.90,0.4968,0.5278,0.7676,0.9233
Pose,19:20:16,-4.27,1.06,-5.88,0.5000,0.5273,0.7705,0.9287
Pose,19:20:16,-4.45,-3.83,-8.84,0.4978,0.5312,0.7705,0.9258
Pose,19:20:16,-3.02,-0.15,-5.15,0.5000,0.5288,0.7744,0.9263
Pose,19:20:16,-1.99,-0.70,-8.11,0.4995,0.5273,0.7749,0.9277
Pose,19:20:16,-0.52,-0.13,-4.43,0.5000,0.5273,0.7764,0.9268
Pose,19:20:16,3.14,-2.54,-7.21,0.4990,0.5269,0.7744,0.9263
Pose,19:20:16,2.91,-1.62,-3.06,0.5010,0.5254,0.7783,0.9297
Pose,19:20:16,0.17,-2.24,-3.51,0.5034,0.5244,0.7778,0.9277
Pose,19:20:16,2.34,-2.14,-4.54,0.5039,0.5220,0.7783,0.9302
Pose,19:20:16,-3.43,-4.20,-4.84,0.5054,0.5195,0.7778,0.9316
Pose,19:20:16,-1.67,-4.91,-5.43,0.5068,0.5210,0.7783,0.9312
Pose,19:20:16,-5.18,-5.14,-6.02,0.5044,0.5205,0.7788,0.9297
Pose,19:20:16,-0.55,-3.21,-3.35,0.5059,0.5244,0.7803,0.9307
Pose,19:20:16,-0.20,-3.73,-4.27,0.5049,0.5239,0.7822,0.9292
Pose,19:20:16,2.66,-3.23,-3.44,0.5049,0.5239,0.7842,0.9292
Pose,19:20:16,9.63,-2.79,-2.20,0.5049,0.5234,0.7852,0.9326
Pose,19:20:16,12.88,-4.11,-2.51,0.5049,0.5254,0.7852,0.9307
Pose,19:20:16,11.42,-3.19,-1.18,0.5078,0.5220,0.7871,0.9321
Pose,19:20:16,12.22,-3.28,-2.24,0.5088,0.5239,0.7871,0.9272
Pose,19:20:16,10.02,-3.32,-2.86,0.5068,0.5176,0.7910,0.9248
Pose,19:20:16,7.90,-3.44,-2.72,0.5073,0.5205,0.7915,0.9268
Pose,19:20:16,7.51,-2.04,-1.47,0.5088,0.5215,0.7910,0.9248
Pose,19:20:16,5.73,-1.48,-1.48,0.5088,0.5215,0.7920,0.9238
Pose,19:20:16,5.10,-2.61,-2.25,0.5093,0.5195,0.7925,0.9287
Pose,19:20:16,2.34,-2.39,0.75,0.5107,0.5200,0.7920,0.9263
Pose,19:20:16,5.50,-3.31,-1.67,0.5137,0.5298,0.7930,0.9233
Pose,19:20:16,4.81,-3.35,-0.22,0.5146,0.5312,0.7930,0.9209
Pose,19:20:17,-0.03,-2.97,-0.51,0.5176,0.5332,0.7939,0.9238
Pose,19:20:17,0.35,-0.92,-1.20,0.5220,0.5342,0.7925,0.9248
Pose,19:20:17,-1.11,-2.19,-1.04,0.5195,0.5312,0.7939,0.9268
Pose,19:20:17,-2.64,-1.04,-1.10,0.5220,0.5371,0.7944,0.9258
Pose,19:20:17,-2.50,-0.80,-1.42,0.5225,0.5381,0.7949,0.9297
Pose,19:20:17,-6.28,-0.47,-1.94,0.5239,0.5415,0.7954,0.9302
Pose,19:20:17,-6.16,-0.34,-1.82,0.5244,0.5430,0.7979,0.9287
Pose,19:20:17,0.84,-1.27,-2.42,0.5259,0.5361,0.7974,0.9297
Pose,19:20:17,-2.08,0.18,-3.01,0.5254,0.5381,0.7979,0.9346
Pose,19:20:17,1.75,-2.56,-2.00,0.5269,0.5303,0.7983,0.9365
Pose,19:20:17,-5.09,-0.03,-3.68,0.5293,0.5347,0.8008,0.9341
Pose,19:20:17,-6.44,-0.42,-3.81,0.5317,0.5327,0.8003,0.9351
Pose,19:20:17,-6.14,1.36,-3.94,0.5317,0.5337,0.8032,0.9302
Pose,19:20:17,-5.49,-0.37,-4.59,0.5303,0.5312,0.8018,0.9307
Pose,19:20:17,-3.74,-2.72,-4.40,0.5288,0.5400,0.8013,0.9219
Pose,19:20:17,-0.05,-1.66,-4.97,0.5288,0.5430,0.8003,0.9199
Pose,19:20:17,2.06,-0.18,-4.34,0.5259,0.5366,0.7983,0.9341
Pose,19:20:17,1.82,-3.86,-5.41,0.5225,0.5332,0.8027,0.9170
Pose,19:20:17,10.67,-5.27,-6.55,0.5200,0.5371,0.8022,0.9160
Pose,19:20:17,13.33,-6.97,-7.61,0.5205,0.5361,0.8018,0.9121
Pose,19:20:17,12.88,-1.80,-6.57,0.5205,0.5381,0.8018,0.9258
Pose,19:20:17,12.80,-3.81,-11.28,0.5195,0.5342,0.7988,0.9141
Pose,19:20:17,18.12,-1.75,-12.22,0.5190,0.5352,0.7993,0.9131
